id,name,dob,nationality
101,Frank Darabont,1/28/1959,USA
102,Francis Ford Coppola,4/7/1939,USA
103,Quentin Tarantino,3/27/1963,USA
104,Christopher Nolan,7/30/1970,UK
105,Steven Spielberg,12/18/1946,USA
106,Peter Jackson,10/31/1961,New Zealand
107,David Fincher,8/28/1962,USA
108,Martin Scorsese,11/17/1942,USA
109,Stanley Kubrick,7/26/1928,USA
110,James Cameron,8/16/1954,Canada
111,Todd Phillips,12/20/1970,USA
112,Wachowski Sisters,1967-12-29/1965-06-21,USA
113,Frank Capra,1897-05-18,USA
114,Alfred Hitchcock,1899-08-13,UK
115,David Lean,3/25/1908,UK
116,James Gunn,8/5/1970,USA
117,Ridley Scott,11/30/1937,UK
118,Quarantine Team,1/1/1995,Worldwide
119,Guy Ritchie,9/10/1968,UK
120,Tim Burton,8/25/1958,USA
121,Robert Zemeckis,5/14/1951,USA
122,Martin McDonagh,3/26/1970,UK
123,Bryan Singer,9/17/1965,USA
124,Denis Villeneuve,10/3/1967,Canada
125,Damien Chazelle,1/19/1985,USA
126,Christopher McQuarrie,10/25/1968,USA
127,Lana Wachowski,6/21/1967,USA
128,Lilly Wachowski,12/29/1965,USA
129,Bong Joon-ho,9/14/1969,South Korea
130,Morten Tyldum,5/19/1967,Norway
